date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:26	56531/56531	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2001:58:26%20GMT	https://citizentrustonlinebk.com/register.php	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/register.html	(from https://citizentrustonlinebk.com/)
17:58:28	75551/75551	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2001:58:28%20GMT	https://citizentrustonlinebk.com/index.php	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/index-2.html	(from https://citizentrustonlinebk.com/)
17:58:29	23620/23620	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jan%202021%2013:07:18%20GMT	https://citizentrustonlinebk.com/img/nlog.png	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/img/nlog.png	(from https://citizentrustonlinebk.com/)
17:58:31	29509/29509	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2001:58:31%20GMT	https://citizentrustonlinebk.com/Online-Banking.php	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/Online-Banking.html	(from https://citizentrustonlinebk.com/)
17:58:32	26829/26829	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2001:58:32%20GMT	https://citizentrustonlinebk.com/Cards.php	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/Cards.html	(from https://citizentrustonlinebk.com/)
17:58:34	25664/25664	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2001:58:35%20GMT	https://citizentrustonlinebk.com/ATM.php	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/ATM.html	(from https://citizentrustonlinebk.com/)
17:58:36	26298/26298	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2001:58:36%20GMT	https://citizentrustonlinebk.com/Student_Loan_Refinance.php	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/Student_Loan_Refinance.html	(from https://citizentrustonlinebk.com/)
17:58:37	30982/30982	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2001:58:38%20GMT	https://citizentrustonlinebk.com/wealth-management.php	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/wealth-management.html	(from https://citizentrustonlinebk.com/)
17:58:39	35225/35225	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2001:58:39%20GMT	https://citizentrustonlinebk.com/about.php	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/about.html	(from https://citizentrustonlinebk.com/)
17:58:40	33452/33452	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Jan%202021%2001:58:41%20GMT	https://citizentrustonlinebk.com/careers.php	C:/Users/user/Desktop/ubb/citizentrustonlinebk.com/careers.html	(from https://citizentrustonlinebk.com/)
